Optimal solution:
Rc[start_0,fork0] = 1.0
Rc[fork0,constant1] = 1.0
Rc[fork0,control_merge2] = 1.0
Rc[constant1,fork1] = 1.0
Rc[fork1,extsi4] = 1.0
Rc[fork1,extsi5] = 1.0
Rc[extsi4,mux2_plin] = 1.0
Rc[extsi5,mux1_plin] = 1.0
Rc[mux2_plout,fork2] = 0.0
Rc[fork2,extsi6] = 0.0
Rc[fork2,extsi7] = 0.0
Rc[fork2,extsi8] = 0.0
Rc[extsi6,addi1_plin] = 0.0
Rc[extsi7,subi1_plin] = 0.0
Rc[extsi8,mc_load0_plin] = 0.0
Rc[mux1_plout,addi0_plin] = 0.0
Rc[control_merge2,fork3] = 0.0
Rc[control_merge2,cond_br3] = 0.0
Rc[fork3,mux2_plin] = 0.0
Rc[fork3,mux1_plin] = 0.0
Rc[source0,constant4] = 0.0
Rc[constant4,extsi9] = 0.0
Rc[extsi9,subi1_plin] = 0.0
Rc[source1,constant8] = 0.0
Rc[constant8,extsi10] = 0.0
Rc[extsi10,cmpi1_plin] = 0.0
Rc[source2,constant9] = 0.0
Rc[constant9,extsi11] = 0.0
Rc[extsi11,addi1_plin] = 0.0
Rc[mc_load0_plout,muli0_plin] = 0.0
Rc[subi1_plout,extsi12] = 0.0
Rc[extsi12,mc_load1_plin] = 0.0
Rc[mc_load1_plout,muli0_plin] = 0.0
Rc[muli0_plout,addi0_plin] = 0.0
Rc[addi0_plout,cond_br2] = 0.0
Rc[addi1_plout,fork4] = 0.0
Rc[fork4,trunci0] = 1.0
Rc[fork4,cmpi1_plin] = 0.0
Rc[trunci0,cond_br0] = 0.0
Rc[cmpi1_plout,fork5] = 0.0
Rc[fork5,cond_br0] = 0.0
Rc[fork5,cond_br2] = 1.0
Rc[fork5,cond_br3] = 0.0
Rc[cond_br0,mux2_plin] = 0.0
Rc[cond_br0,sink0] = 1.0
Rc[cond_br2,mux1_plin] = 0.0
Rc[cond_br2,return1_plin] = 1.0
Rc[cond_br3,control_merge2] = 0.0
Rc[cond_br3,sink1] = 1.0
Rc[return1_plout,end0_plin] = 1.0
Nc[start_0,fork0] = 0.0
Nc[fork0,constant1] = 0.0
Nc[fork0,control_merge2] = 0.0
Nc[constant1,fork1] = 0.0
Nc[fork1,extsi4] = 0.0
Nc[fork1,extsi5] = 2.0
Nc[extsi4,mux2_plin] = 0.0
Nc[extsi5,mux1_plin] = 0.0
Nc[mux2_plout,fork2] = 0.0
Nc[fork2,extsi6] = 0.0
Nc[fork2,extsi7] = 0.0
Nc[fork2,extsi8] = 0.0
Nc[extsi6,addi1_plin] = 0.0
Nc[extsi7,subi1_plin] = 0.0
Nc[extsi8,mc_load0_plin] = 0.0
Nc[mux1_plout,addi0_plin] = 0.0
Nc[control_merge2,fork3] = 0.0
Nc[control_merge2,cond_br3] = 1.0
Nc[fork3,mux2_plin] = 0.0
Nc[fork3,mux1_plin] = 2.0
Nc[source0,constant4] = 0.0
Nc[constant4,extsi9] = 0.0
Nc[extsi9,subi1_plin] = 0.0
Nc[source1,constant8] = 0.0
Nc[constant8,extsi10] = 0.0
Nc[extsi10,cmpi1_plin] = 0.0
Nc[source2,constant9] = 0.0
Nc[constant9,extsi11] = 0.0
Nc[extsi11,addi1_plin] = 0.0
Nc[mc_load0_plout,muli0_plin] = 0.0
Nc[subi1_plout,extsi12] = 0.0
Nc[extsi12,mc_load1_plin] = 0.0
Nc[mc_load1_plout,muli0_plin] = 0.0
Nc[muli0_plout,addi0_plin] = 0.0
Nc[addi0_plout,cond_br2] = 0.0
Nc[addi1_plout,fork4] = 0.0
Nc[fork4,trunci0] = 1.0
Nc[fork4,cmpi1_plin] = 0.0
Nc[trunci0,cond_br0] = 0.0
Nc[cmpi1_plout,fork5] = 0.0
Nc[fork5,cond_br0] = 0.0
Nc[fork5,cond_br2] = 2.0
Nc[fork5,cond_br3] = 0.0
Nc[cond_br0,mux2_plin] = 0.0
Nc[cond_br0,sink0] = 0.0
Nc[cond_br2,mux1_plin] = 0.0
Nc[cond_br2,return1_plin] = 0.0
Nc[cond_br3,control_merge2] = 0.0
Nc[cond_br3,sink1] = 0.0
Nc[return1_plout,end0_plin] = 0.0
plRc[mux2] = 1.0
plRc[mux1] = 1.0
plRc[subi1] = 1.0
plRc[addi0] = 1.0
plRc[addi1] = 1.0
plRc[cmpi1] = 1.0
plRc[return1] = 0.0
plRc[end0] = 0.0
Lu[mux2] = 1.0
Lu[mux1] = 1.0
Lu[subi1] = 1.0
Lu[addi0] = 1.0
Lu[addi1] = 1.0
Lu[cmpi1] = 1.0
Lu[return1] = 0.0
Lu[end0] = 0.0
Theta[0] = 0.3333333333333333
Theta_1[start_0,fork0] = 0.0
Theta_1[fork0,constant1] = 0.0
Theta_1[fork0,control_merge2] = 0.0
Theta_1[constant1,fork1] = 0.0
Theta_1[fork1,extsi4] = 0.0
Theta_1[fork1,extsi5] = 1.6666666666666667
Theta_1[extsi4,mux2_plin] = 0.0
Theta_1[extsi5,mux1_plin] = 0.0
Theta_1[mux2_plout,fork2] = 0.0
Theta_1[fork2,extsi6] = 0.0
Theta_1[fork2,extsi7] = 0.0
Theta_1[fork2,extsi8] = 0.0
Theta_1[extsi6,addi1_plin] = 0.0
Theta_1[extsi7,subi1_plin] = 0.0
Theta_1[extsi8,mc_load0_plin] = 0.0
Theta_1[mux1_plout,addi0_plin] = 0.0
Theta_1[control_merge2,fork3] = 0.0
Theta_1[control_merge2,cond_br3] = 1.0
Theta_1[fork3,mux2_plin] = 0.0
